,POSTID,POSTLINK,POSTTITLE,POSTBODY,POSTDATE,POSTVOTECOUNTS,COMMENTID,COMMENTSCORE,COMMENTUSERNAME,COMMENTTEXT,COMMENTDATETIME,ANSWERID,ANSWERTEXT,ANSWERBODY,ANSWERDATETIME,ANSWERVOTECOUNTS,ANSWERCMTID,ANSWERCMTTEXT,ANSWERCMTBODY,ANSWERCMTDATETIME,ANSWERCMTVOTECOUNTS,TYPE,postId,title,partial_ratio,token_sort_ratio,token_set_ratio
0,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",,,,,,,,,,,,,,,,post,26100218,Reverse String in JavaScript,68,43,83
1,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",comment-40900823,4.0,Frédéric Hamidi,"The range of characters indexes in a string goes from zero to the string length, <b>minus one</b>.","2014-09-29 12:43:17Z, License: CC BY-SA 3.0",,,,,,,,,,,post_comment,26100218,Reverse String in JavaScript,68,43,83
2,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",comment-40900875,4.0,Frédéric Hamidi,"Also, just in case you don't want to reinvent the wheel, <code>str.split("""").reverse().join("""")</code> is an useful idiom.","2014-09-29 12:44:59Z, License: CC BY-SA 3.0",,,,,,,,,,,post_comment,26100218,Reverse String in JavaScript,68,43,83
3,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",comment-40900914,,user663031,"possible duplicate of <a href=""http://stackoverflow.com/questions/958908/how-do-you-reverse-a-string-in-place-in-javascript"">How do you reverse a string in place in JavaScript?</a>","2014-09-29 12:46:12Z, License: CC BY-SA 3.0",,,,,,,,,,,post_comment,26100218,Reverse String in JavaScript,68,43,83
4,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",comment-40900984,,user663031,"Just curious, any particular reason you're inventing an entirely new type of object <code>ReverseString</code> with a single purpose in life which is to reverse the string it holds? You plan to reverse it again and again?","2014-09-29 12:47:51Z, License: CC BY-SA 3.0",,,,,,,,,,,post_comment,26100218,Reverse String in JavaScript,68,43,83
5,26100218,https://stackoverflow.com/questions/26100218/reverse-string-in-javascript,Reverse String in JavaScript,"
                
<p>I wrote a JS constructor which reverse a string variable:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">function</span> <span class=""hljs-title function_"">ReverseString</span>(<span class=""hljs-params"">string</span>) {
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span> = string;
    <span class=""hljs-keyword"">var</span> size = <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>.<span class=""hljs-property"">length</span>;
    <span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">reverse</span> = <span class=""hljs-keyword"">function</span> (<span class=""hljs-params""></span>) {
        <span class=""hljs-keyword"">for</span>(size; size &gt;= <span class=""hljs-number"">0</span>; --size) {
            <span class=""hljs-variable language_"">console</span>.<span class=""hljs-title function_"">log</span>(<span class=""hljs-variable language_"">this</span>.<span class=""hljs-property"">str</span>[size]);
        }
    }
}
</code></pre>

<p>When I invoke a reverse method on a new string object(<code>""asd""</code>) it produces the following output:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">  <span class=""hljs-literal"">undefined</span> 
    d 
    s 
    a
</code></pre>

<p>Where this <code>undefined</code> came from? Could you help me eliminate this ? </p>
    ","('2014-09-29 12:41:59Z',)","('2',)",comment-40901194,,user663031,"Let's see, you searched for ""reverse string javascript"" before posting this question and found nothing, I guess. Seems no-one ever had this problem before. Except <a href=""http://stackoverflow.com/questions/1611427/reversing-a-string-in-javascript"" title=""reversing a string in javascript"">stackoverflow.com/questions/1611427/…</a>, <a href=""http://stackoverflow.com/questions/4859208/recursive-string-reversal-function-in-javascript"" title=""recursive string reversal function in javascript"">stackoverflow.com/questions/4859208/…</a> (see duplicate answer below), and off-site resources such as <a href=""http://eddmann.com/posts/ten-ways-to-reverse-a-string-in-javascript/"" rel=""nofollow noreferrer"">eddmann.com/posts/ten-ways-to-reverse-a-string-in-javascript</a>.","2014-09-29 12:53:23Z, License: CC BY-SA 3.0",,,,,,,,,,,post_comment,26100218,Reverse String in JavaScript,68,43,83
6,17880476,https://stackoverflow.com/questions/17880476/joins-in-javascript,Joins in Javascript,"
                
<p>I have 2 lists of objects:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">people = 
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Tom""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Bob""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Sir Benjamin Rogan-Josh IV""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">2</span>}];

cars=
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ford Fiesta""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""blue""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ferrari""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""red""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Rover 25""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""Sunset Melting Yellow with hints of yellow""</span>}];
</code></pre>

<p>Is there a function (possibly in Angular, JQuery, Underscore, LoDash, or other external library) to do a left join in one line on these? Something like:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">peoplewithcars = <span class=""hljs-title function_"">leftjoin</span>( people, cars, <span class=""hljs-string"">""carid""</span>, <span class=""hljs-string"">""id""</span>);
</code></pre>

<p>I can write my own, but if LoDash has an optimised version I'd like to use that.</p>
    ","('2013-07-26 11:45:41Z',)","('16',)",,,,,,,,,,,,,,,,post,17880476,Joins in Javascript,74,38,81
7,17880476,https://stackoverflow.com/questions/17880476/joins-in-javascript,Joins in Javascript,"
                
<p>I have 2 lists of objects:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">people = 
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Tom""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Bob""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Sir Benjamin Rogan-Josh IV""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">2</span>}];

cars=
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ford Fiesta""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""blue""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ferrari""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""red""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Rover 25""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""Sunset Melting Yellow with hints of yellow""</span>}];
</code></pre>

<p>Is there a function (possibly in Angular, JQuery, Underscore, LoDash, or other external library) to do a left join in one line on these? Something like:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">peoplewithcars = <span class=""hljs-title function_"">leftjoin</span>( people, cars, <span class=""hljs-string"">""carid""</span>, <span class=""hljs-string"">""id""</span>);
</code></pre>

<p>I can write my own, but if LoDash has an optimised version I'd like to use that.</p>
    ","('2013-07-26 11:45:41Z',)","('16',)",,,,,,55642683.0,"This implementation uses the ES6 spread operator. Again, not a library function as asked for.
const leftJoin = (objArr1, objArr2, key1, key2) => objArr1.map(
    anObj1 => ({
        ...objArr2.find(
            anObj2 => anObj1[key1] === anObj2[key2]
        ),
        ...anObj1
    })
);","('\n<p>This implementation uses the ES6 spread operator. Again, not a library function as asked for.</p>\n<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">const</span> <span class=""hljs-title function_"">leftJoin</span> = (<span class=""hljs-params"">objArr1, objArr2, key1, key2</span>) =&gt; objArr1.<span class=""hljs-title function_"">map</span>(\n    <span class=""hljs-function""><span class=""hljs-params"">anObj1</span> =&gt;</span> ({\n        ...objArr2.<span class=""hljs-title function_"">find</span>(\n            <span class=""hljs-function""><span class=""hljs-params"">anObj2</span> =&gt;</span> anObj1[key1] === anObj2[key2]\n        ),\n        ...anObj1\n    })\n);\n</code></pre>\n    ',)","2022-09-06 00:06:31Z, License: CC BY-SA 4.0","('9',)",,,,,,answer,17880476,Joins in Javascript,74,38,81
8,17880476,https://stackoverflow.com/questions/17880476/joins-in-javascript,Joins in Javascript,"
                
<p>I have 2 lists of objects:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">people = 
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Tom""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Bob""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Sir Benjamin Rogan-Josh IV""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">2</span>}];

cars=
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ford Fiesta""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""blue""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ferrari""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""red""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Rover 25""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""Sunset Melting Yellow with hints of yellow""</span>}];
</code></pre>

<p>Is there a function (possibly in Angular, JQuery, Underscore, LoDash, or other external library) to do a left join in one line on these? Something like:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">peoplewithcars = <span class=""hljs-title function_"">leftjoin</span>( people, cars, <span class=""hljs-string"">""carid""</span>, <span class=""hljs-string"">""id""</span>);
</code></pre>

<p>I can write my own, but if LoDash has an optimised version I'd like to use that.</p>
    ","('2013-07-26 11:45:41Z',)","('16',)",,,,,,55642683.0,"This implementation uses the ES6 spread operator. Again, not a library function as asked for.
const leftJoin = (objArr1, objArr2, key1, key2) => objArr1.map(
    anObj1 => ({
        ...objArr2.find(
            anObj2 => anObj1[key1] === anObj2[key2]
        ),
        ...anObj1
    })
);","('\n<p>This implementation uses the ES6 spread operator. Again, not a library function as asked for.</p>\n<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">const</span> <span class=""hljs-title function_"">leftJoin</span> = (<span class=""hljs-params"">objArr1, objArr2, key1, key2</span>) =&gt; objArr1.<span class=""hljs-title function_"">map</span>(\n    <span class=""hljs-function""><span class=""hljs-params"">anObj1</span> =&gt;</span> ({\n        ...objArr2.<span class=""hljs-title function_"">find</span>(\n            <span class=""hljs-function""><span class=""hljs-params"">anObj2</span> =&gt;</span> anObj1[key1] === anObj2[key2]\n        ),\n        ...anObj1\n    })\n);\n</code></pre>\n    ',)","2022-09-06 00:06:31Z, License: CC BY-SA 4.0","('9',)","('129996990',)","Clever solution. But it fails if we try to use ""carid"" as the name of the card id in both tables. And I don't see an easy way to fix this in the code. The solution by @ЕрланЯр-Мухамедов solves this.","('\n                \n                <span class=""comment-copy"">Clever solution. But it fails if we try to use ""carid"" as the name of the card id in both tables. And I don\'t see an easy way to fix this in the code. The solution by @ЕрланЯр-Мухамедов solves this.</span>\n                \n                <div class=""d-inline-flex ai-center"">\n–&nbsp;<a href=""/users/1978840/john-pankowicz"" title=""4,053 reputation"" class=""comment-user"">John Pankowicz</a>\n                </div>\n                <span class=""comment-date"" dir=""ltr""><a class=""comment-link"" href=""#comment129996990_55642683"" aria-label=""Link to comment""><span title=""2022-09-06 00:06:31Z, License: CC BY-SA 4.0"" class=""relativetime-clean"">Sep 6, 2022 at 0:06</span></a></span>\n                        <span title=""this comment was edited 1 time"">\n                            <svg aria-hidden=""true"" class=""va-text-bottom o50 svg-icon iconPencilSm"" width=""14"" height=""14"" viewBox=""0 0 14 14""><path d=""m11.1 1.71 1.13 1.12c.2.2.2.51 0 .71L11.1 4.7 9.21 2.86l1.17-1.15c.2-.2.51-.2.71 0ZM2 10.12l6.37-6.43 1.88 1.88L3.88 12H2v-1.88Z""></path></svg>\n                        </span>\n            ',)","Sep 6, 2022 at 0:06","('',)",answer_comment,17880476,Joins in Javascript,74,38,81
9,17880476,https://stackoverflow.com/questions/17880476/joins-in-javascript,Joins in Javascript,"
                
<p>I have 2 lists of objects:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">people = 
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Tom""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Bob""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">1</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Sir Benjamin Rogan-Josh IV""</span>, <span class=""hljs-attr"">carid</span>: <span class=""hljs-number"">2</span>}];

cars=
[{<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">1</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ford Fiesta""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""blue""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">2</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Ferrari""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""red""</span>},
 {<span class=""hljs-attr"">id</span>: <span class=""hljs-number"">3</span>, <span class=""hljs-attr"">name</span>: <span class=""hljs-string"">""Rover 25""</span>, <span class=""hljs-attr"">color</span>: <span class=""hljs-string"">""Sunset Melting Yellow with hints of yellow""</span>}];
</code></pre>

<p>Is there a function (possibly in Angular, JQuery, Underscore, LoDash, or other external library) to do a left join in one line on these? Something like:</p>

<pre class=""lang-js s-code-block""><code class=""hljs language-javascript"">peoplewithcars = <span class=""hljs-title function_"">leftjoin</span>( people, cars, <span class=""hljs-string"">""carid""</span>, <span class=""hljs-string"">""id""</span>);
</code></pre>

<p>I can write my own, but if LoDash has an optimised version I'd like to use that.</p>
    ","('2013-07-26 11:45:41Z',)","('16',)",,,,,,55642683.0,"This implementation uses the ES6 spread operator. Again, not a library function as asked for.
const leftJoin = (objArr1, objArr2, key1, key2) => objArr1.map(
    anObj1 => ({
        ...objArr2.find(
            anObj2 => anObj1[key1] === anObj2[key2]
        ),
        ...anObj1
    })
);","('\n<p>This implementation uses the ES6 spread operator. Again, not a library function as asked for.</p>\n<pre class=""lang-js s-code-block""><code class=""hljs language-javascript""><span class=""hljs-keyword"">const</span> <span class=""hljs-title function_"">leftJoin</span> = (<span class=""hljs-params"">objArr1, objArr2, key1, key2</span>) =&gt; objArr1.<span class=""hljs-title function_"">map</span>(\n    <span class=""hljs-function""><span class=""hljs-params"">anObj1</span> =&gt;</span> ({\n        ...objArr2.<span class=""hljs-title function_"">find</span>(\n            <span class=""hljs-function""><span class=""hljs-params"">anObj2</span> =&gt;</span> anObj1[key1] === anObj2[key2]\n        ),\n        ...anObj1\n    })\n);\n</code></pre>\n    ',)","2022-09-06 00:06:31Z, License: CC BY-SA 4.0","('9',)","('130053628',)","@JohnPankowicz Not sure what you mean by ""name of the card id""; could you please provide example data?","('\n                \n                <span class=""comment-copy"">@JohnPankowicz Not sure what you mean by ""name of the card id""; could you please provide example data?</span>\n                \n                <div class=""d-inline-flex ai-center"">\n–&nbsp;<a href=""/users/2760203/ashley-wilson"" title=""464 reputation"" class=""comment-user"">Ashley Wilson</a>\n                </div>\n                <span class=""comment-date"" dir=""ltr""><a class=""comment-link"" href=""#comment130053628_55642683"" aria-label=""Link to comment""><span title=""2022-09-08 10:59:51Z, License: CC BY-SA 4.0"" class=""relativetime-clean"">Sep 8, 2022 at 10:59</span></a></span>\n                        <span title=""this comment was edited 1 time"">\n                            <svg aria-hidden=""true"" class=""va-text-bottom o50 svg-icon iconPencilSm"" width=""14"" height=""14"" viewBox=""0 0 14 14""><path d=""m11.1 1.71 1.13 1.12c.2.2.2.51 0 .71L11.1 4.7 9.21 2.86l1.17-1.15c.2-.2.51-.2.71 0ZM2 10.12l6.37-6.43 1.88 1.88L3.88 12H2v-1.88Z""></path></svg>\n                        </span>\n            ',)","Sep 8, 2022 at 10:59","('',)",answer_comment,17880476,Joins in Javascript,74,38,81
