RichieHindle,"There's an in-depth discussion of this here: rightfootin.blogspot.com/2006/09/more-on-python-flatten.html, discussing several methods of flattening arbitrarily nested lists of lists. An interesting read!","Jun 4, 2009 at 20:41",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,original
Golden Lion,stackoverflow.com/questions/50259290/… (this article explain the difference between an np.flatten() and a tf.flatten() use (static vs dynamic) ndarray.,"Dec 18, 2020 at 16:48",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,original
intuited,"I tried a test with the same data, using itertools.chain.from_iterable : $ python -mtimeit -s'from itertools import chain; l=[[1,2,3],[4,5,6], [7], [8,9]]*99' 'list(chain.from_iterable(l))'. It runs a bit more than twice as fast as the nested list comprehension that's the fastest of the alternatives shown here.","Oct 15, 2010 at 1:21",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Rob Crowell,I found the syntax hard to understand until I realized you can think of it exactly like nested for loops. for sublist in l: for item in sublist: yield item,"Jul 27, 2011 at 16:43",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
John Mee,[leaf for tree in forest for leaf in tree] might be easier to comprehend and apply.,"Aug 29, 2013 at 1:38",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Sнаđошƒаӽ,"@RobCrowell Same here. To me the list comprehension one doesn't read right, something feels off about it - I always seem to get it wrong and end up googling. To me this reads right [leaf for leaf in tree for tree in forest]. I wish this is how it was. I am sure I am missing something about the grammar here, and I would appreciate if anyone could point that out.","Jul 12, 2021 at 17:19",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Gilthans,"I kept looking here every time I wanted to flatten a list, but this gif is what drove it home: i.stack.imgur.com/0GoV5.gif","Aug 11, 2021 at 12:04",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Tim Dierks,"The * is the tricky thing that makes chain less straightforward than the list comprehension. You have to know that chain only joins together the iterables passed as parameters, and the * causes the top-level list to be expanded into parameters, so chain joins together all those iterables, but doesn't descend further. I think this makes the comprehension more readable than the use of chain in this case.","Sep 3, 2014 at 14:13",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
ShadowRanger,"@TimDierks: I'm not sure ""this requires you to understand Python syntax"" is an argument against using a given technique in Python. Sure, complex usage could confuse, but the ""splat"" operator is generally useful in many circumstances, and this isn't using it in a particularly obscure way; rejecting all language features that aren't necessarily obvious to beginning users means you're tying one hand behind your back. May as well throw out list comprehensions too while you're at it; users from other backgrounds would find a for loop that repeatedly appends more obvious.","Nov 12, 2015 at 20:26",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
nadapez,* creates an intermediary tuple.! from_iterable fetch the nested lists directly from the top list.,"Oct 21, 2021 at 3:35",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Chris Collett,"To make this more readable, you can make a simple function: def flatten_list(deep_list: list[list[object]]): return list(chain.from_iterable(deep_list)). The type hinting improves the clarity of what's going on (modern IDEs would interpret this as returning a list[object] type).","Oct 25, 2021 at 14:34",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
andrewrk,that's pretty neat and clever but I wouldn't use it because it's confusing to read.,"Jun 15, 2010 at 18:55",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Mike Graham,This is a Shlemiel the painter's algorithm joelonsoftware.com/articles/fog0000000319.html -- unnecessarily inefficient as well as unnecessarily ugly.,"Apr 25, 2012 at 18:24",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
ulidtko,"The append operation on lists forms a Monoid, which is one of the most convenient abstractions for thinking of a + operation in a general sense (not limited to numbers only). So this answer deserves a +1 from me for (correct) treatment of lists as a monoid. The performance is concerning though...","Dec 3, 2014 at 10:35",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Jean-François Fabre,this is a very inefficient way because of the quadratic aspect of the sum.,"Jul 31, 2017 at 18:04",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
ds4940,This article explains the maths of the inefficiency mathieularose.com/how-not-to-flatten-a-list-of-lists-in-python,"Jan 4, 2018 at 16:46",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Sara,"For huge nested lists,' list(numpy.array(a).flat)' is the fastest among all functions above.","Jan 20, 2019 at 13:57",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Leo,Is there a way to do a 3-d perfplot? number of arrays by average size of array?,"Apr 30, 2020 at 0:31",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Boris Verkhovskiy,"@Sara can you define ""huge"" please?","Nov 14, 2020 at 6:05",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
mirekphd,"Tried numpy_flat on the test example from Rossetta Code (link) and got VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray","Dec 5, 2020 at 11:08",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Oscar Benjamin,One option missed above which shows up faster for my particular case i just items = []; for sublist in a: items.extend(sublist); return sublist,"Oct 11, 2021 at 17:05",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Mike Graham,This is a Shlemiel the painter's algorithm joelonsoftware.com/articles/fog0000000319.html,"Apr 25, 2012 at 18:26",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
gntskn,"reduce is very inefficient for this use case as it will repeat copies and generate many unused temporary lists (O(n^2) in both time and possibly space, depending on how the GC decides to clean). It's better to use append or extend.","Oct 2, 2020 at 17:00",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
Martin Thoma,"I just wrote pretty much the same, because I didn't see your solution ... here is what I looked for ""recursively flatten complete multiple lists"" ... (+1)","Mar 25, 2017 at 15:32",https://stackoverflow.com/questions/952914/how-do-i-make-a-flat-list-out-of-a-list-of-lists,How do I make a flat list out of a list of lists?,answer
